date,Fear,Joy,Sadness,Surprise
2020_05_30,0.6104417670682731,0.3072289156626506,0.030120481927710843,0.05220883534136546
2020_05_31,0.5921658986175116,0.30414746543778803,0.06682027649769585,0.03686635944700461
2020_06_01,0.568,0.36,0.046,0.026
2020_06_02,0.616,0.312,0.036,0.036
2020_06_03,0.5699797160243407,0.3691683569979716,0.038539553752535496,0.02231237322515213
2020_06_04,0.528,0.418,0.03,0.024
2020_06_05,0.522,0.28,0.024,0.174
2020_06_06,0.654,0.244,0.036,0.066
2020_06_07,0.582,0.298,0.06,0.06
2020_06_08,0.668,0.26,0.026,0.046
2020_06_09,0.604,0.272,0.068,0.056
2020_06_10,0.41,0.488,0.04,0.062
2020_06_11,0.572,0.332,0.06,0.036
2020_06_12,0.464,0.31,0.184,0.042
2020_06_13,0.5067750677506775,0.34417344173441733,0.10298102981029811,0.04607046070460705
2020_06_14,0.41387024608501116,0.48322147651006714,0.042505592841163314,0.06040268456375839
2020_06_15,0.582,0.34,0.04,0.038
2020_06_16,0.518,0.392,0.042,0.048
2020_06_17,0.57,0.348,0.052,0.03
2020_06_18,0.5889423076923077,0.3076923076923077,0.0625,0.040865384615384616
2020_06_19,0.58,0.348,0.048,0.024
2020_06_20,0.5041322314049587,0.36639118457300274,0.07988980716253444,0.049586776859504134
2020_06_21,0.5437262357414449,0.3269961977186312,0.08745247148288973,0.04182509505703422
2020_06_22,0.5817174515235457,0.3490304709141274,0.038781163434903045,0.030470914127423823
2020_06_23,0.72,0.206,0.042,0.032
2020_06_24,0.624,0.262,0.062,0.052
2020_06_25,0.5740318906605922,0.3530751708428246,0.03189066059225513,0.04100227790432802
2020_06_26,0.6995798319327731,0.23319327731092437,0.03361344537815126,0.03361344537815126
2020_06_27,0.6779141104294478,0.2361963190184049,0.04294478527607362,0.04294478527607362
2020_06_28,0.6237942122186495,0.2508038585209003,0.07717041800643087,0.04823151125401929
2020_06_29,0.474,0.426,0.03,0.07
2020_06_30,0.5117370892018779,0.4084507042253521,0.03990610328638498,0.03990610328638498
2020_07_01,0.609254498714653,0.2544987146529563,0.05398457583547558,0.08226221079691516
2020_07_02,0.6185286103542235,0.26430517711171664,0.05722070844686648,0.05994550408719346
2020_07_03,0.6822429906542056,0.24766355140186916,0.02570093457943925,0.04439252336448598
2020_07_04,0.6196172248803827,0.19856459330143542,0.11244019138755981,0.06937799043062201
