date,Fear,Joy,Sadness,Surprise
2020_03_05,0.642,0.216,0.082,0.06
2020_03_06,0.67,0.208,0.064,0.058
2020_03_07,0.606,0.238,0.084,0.072
2020_03_08,0.666,0.192,0.064,0.078
2020_03_09,0.576,0.254,0.078,0.092
2020_03_10,0.654,0.17,0.084,0.092
2020_03_11,0.67,0.178,0.08,0.072
2020_03_12,0.57,0.202,0.128,0.1
2020_03_13,0.644,0.186,0.084,0.086
2020_03_14,0.616,0.21,0.1,0.074
2020_03_15,0.66,0.18,0.078,0.082
2020_03_16,0.648,0.208,0.078,0.066
2020_03_17,0.628,0.208,0.078,0.086
2020_03_18,0.686,0.198,0.078,0.038
2020_03_19,0.654,0.22,0.062,0.064
2020_03_20,0.658,0.206,0.064,0.072
2020_03_21,0.634,0.218,0.078,0.07
2020_03_22,0.586,0.262,0.092,0.06
2020_03_23,0.662,0.224,0.058,0.056
2020_03_24,0.648,0.196,0.094,0.062
2020_03_25,0.638,0.222,0.084,0.056
2020_03_26,0.608,0.242,0.082,0.068
2020_03_27,0.602,0.224,0.086,0.088
2020_03_28,0.63,0.232,0.066,0.072
2020_03_29,0.562,0.25,0.11,0.078
2020_03_30,0.588,0.28,0.078,0.054
2020_03_31,0.622,0.216,0.074,0.088
2020_04_01,0.64,0.212,0.09,0.058
2020_04_02,0.58,0.254,0.09,0.076
2020_04_03,0.576,0.268,0.088,0.068
2020_04_04,0.578,0.272,0.076,0.074
2020_04_05,0.514,0.306,0.09,0.09
2020_04_06,0.528,0.272,0.132,0.068
2020_04_07,0.57,0.27,0.094,0.066
2020_04_08,0.57,0.282,0.078,0.07
2020_04_09,0.56,0.264,0.092,0.084
2020_04_10,0.648,0.2,0.072,0.08
2020_04_11,0.598,0.234,0.082,0.086
2020_04_12,0.57,0.284,0.076,0.07
2020_04_13,0.604,0.244,0.078,0.074
2020_04_14,0.604,0.24,0.068,0.088
2020_04_15,0.606,0.23,0.086,0.078
2020_04_16,0.594,0.222,0.072,0.112
2020_04_17,0.582,0.27,0.06,0.088
2020_04_18,0.598,0.278,0.058,0.066
2020_04_19,0.634,0.2,0.082,0.084
2020_04_20,0.632,0.2,0.094,0.074
2020_04_21,0.572,0.278,0.084,0.066
2020_04_22,0.604,0.268,0.052,0.076
2020_04_23,0.528,0.304,0.092,0.076
2020_04_24,0.556,0.302,0.07,0.072
2020_04_25,0.576,0.278,0.066,0.08
2020_04_26,0.57,0.282,0.076,0.072
2020_04_27,0.604,0.264,0.062,0.07
2020_04_28,0.624,0.23,0.068,0.078
2020_04_29,0.54,0.286,0.104,0.07
2020_04_30,0.492,0.318,0.104,0.086
