date,content
18/02/2020,"('singapore', 322)
('cases', 72)
('#singapore', 57)
('outbreak', 54)
('airlines', 46)
('flights', 44)
('#covid19', 43)
('billion', 42)
('budget', 35)
('4', 35)
('singapore,', 29)
('demand', 26)
('help', 26)
('amid', 24)
('news', 23)
('coronavirus:', 23)
('package', 23)
('asia', 22)
('epidemic', 21)
('china', 21)
"
19/02/2020,"('singapore', 237)
('cases', 199)
('#singapore', 61)
('outbreak', 50)
('3', 50)
('singapore,', 46)
('#covid19', 41)
('hong', 41)
('total)\n-', 40)
('kong', 39)
(':', 33)
('japan', 32)
('singapore.', 30)
('case', 30)
(""singapore's"", 28)
('south', 27)
('confirmed', 26)
('(84', 26)
('china', 25)
('2', 25)
"
20/02/2020,"('singapore', 250)
('cases', 101)
(':', 69)
('#singapore', 66)
('singapore,', 47)
('hong', 41)
('#covid19', 39)
('playbook', 34)
('japan', 34)
('korea', 34)
(""singapore's"", 34)
('case', 33)
('china', 33)
('japan,', 31)
('south', 28)
('admired', 27)
('travel', 27)
('sg', 26)
('|', 23)
('coronavirus:', 22)
"
21/02/2020,"('singapore', 274)
('cases', 87)
('singapore,', 66)
('outbreak', 56)
('#singapore', 53)
('conference', 49)
('#covid19', 39)
('spread', 37)
('china', 36)
('south', 30)
(""singapore's"", 29)
('case', 29)
('international', 28)
('|', 28)
('left', 26)
('attendees', 25)
('sales', 25)
('confirmed', 25)
('korea', 25)
('them,', 23)
"
22/02/2020,"('singapore', 237)
('travel', 109)
('cases', 95)
('avoid', 83)
('non-essential', 75)
('coronavirus:', 59)
('#singapore', 57)
('citizens', 56)
('singapore,', 53)
('govt', 51)
('korea,', 48)
('asks', 42)
('clusters', 39)
('south', 39)
('hong', 36)
('#covid19', 35)
('conference', 34)
('iran,', 32)
('spread', 31)
('3', 30)
"
23/02/2020,"('singapore', 265)
('cases', 97)
('south', 58)
('people', 57)
('travel', 57)
('hong', 55)
('singapore,', 49)
('#singapore', 46)
('filipino', 43)
('#covid19', 42)
('positive', 36)
('korea,', 35)
('china,', 34)
('spread', 33)
('case', 32)
('singapore.', 31)
('kong,', 31)
('confirmed', 31)
('italy', 30)
('japan,', 29)
"
24/02/2020,"('singapore', 275)
('cases', 76)
('singapore,', 61)
('#singapore', 59)
('hong', 46)
('south', 39)
('china', 39)
('korea', 37)
('outbreak', 36)
('case', 35)
('#covid19', 35)
('travel', 30)
('italy', 28)
('confirmed', 25)
('china,', 24)
('2', 23)
('health', 21)
('kong', 21)
('countries', 21)
('filipino', 20)
"
25/02/2020,"('singapore', 273)
('singapore,', 80)
('cases', 64)
('south', 58)
('#singapore', 42)
('china', 39)
('outbreak', 37)
('spread', 35)
('flights', 34)
('japan', 34)
('travel', 33)
('#covid19', 33)
('visitors', 31)
('suspends', 30)
('health', 28)
('daegu', 25)
('kuwait', 25)
('2', 25)
('hong', 24)
('people', 24)
"
26/02/2020,"('singapore', 296)
('cases', 63)
('singapore,', 62)
('#singapore', 45)
('south', 37)
('people', 37)
('#covid19', 35)
('health', 31)
('lying', 31)
('2', 28)
('china', 27)
('china,', 25)
('mask', 24)
('travel', 23)
('hong', 23)
('japan,', 23)
('korea,', 23)
('confirmed', 21)
('outbreak', 21)
('quarantine', 21)
"
27/02/2020,"('singapore', 284)
('cases', 85)
('singapore,', 73)
('#singapore', 43)
('health', 42)
('south', 34)
('spread', 31)
('countries', 31)
('korea,', 30)
('#covid19', 30)
('3', 30)
('china,', 27)
('china', 27)
('hong', 26)
('flights', 26)
('including', 24)
('student', 24)
('confirmed', 23)
('italy,', 22)
('japan,', 22)
"
28/02/2020,"('singapore', 252)
('cases', 76)
('test', 54)
('united', 53)
('singapore,', 53)
('japan,', 46)
('south', 44)
('service', 43)
('#singapore', 33)
('korea', 32)
('flight', 31)
('airlines', 31)
('hong', 31)
('pay', 31)
('contained', 31)
('singapore.', 30)
('china', 29)
('amid', 28)
('#covid19', 27)
('cuts', 27)
"
29/02/2020,"('singapore', 292)
('cases', 88)
('health', 45)
('test', 41)
('#singapore', 35)
('#covid19', 31)
('singapore,', 30)
('spread', 28)
('4', 28)
('sg', 27)
('people', 26)
('countries', 24)
('singapore’s', 24)
('minister', 23)
('hong', 23)
('|', 22)
('singapore.', 21)
('confirmed', 21)
(':', 21)
('country', 20)
"
01/03/2020,"('singapore', 260)
('cases', 85)
('health', 57)
('singapore,', 53)
('singapore’s', 42)
('#covid19', 41)
('|', 36)
('response', 33)
('spread', 33)
('south', 33)
('people', 31)
('#singapore', 30)
('4', 29)
('test', 29)
('masks', 26)
(""singapore's"", 26)
('countries', 24)
('sg', 24)
('hong', 24)
('excellent', 24)
"
02/03/2020,"('singapore', 280)
('cases', 89)
('singapore,', 60)
('china,', 51)
('2', 42)
('korea,', 39)
('travel', 38)
('#covid19', 38)
('south', 38)
('spread', 37)
('#singapore', 35)
('test', 35)
('hong', 33)
('flights', 32)
('people', 31)
('japan,', 29)
('health', 27)
('iran,', 24)
('kong,', 24)
('italy', 23)
"
03/03/2020,"('singapore', 298)
('student', 106)
('street', 94)
('oxford', 93)
('hurt', 83)
('attack', 82)
('coronavirus:', 69)
('news', 59)
('cases', 49)
('health', 43)
('singapore,', 42)
('bbc', 42)
('people', 41)
('south', 27)
('singapore.', 26)
('singapore’s', 26)
('#singapore', 25)
('minister', 25)
('countries', 24)
('hong', 22)
"
04/03/2020,"('singapore', 278)
('cases', 62)
('singapore,', 54)
('#singapore', 48)
('flight', 35)
('health', 35)
('travel', 34)
('people', 33)
('south', 30)
('student', 29)
('#covid19', 28)
('spread', 28)
('novel', 26)
('hong', 24)
('korea', 24)
('countries', 22)
('china,', 21)
('airlines', 20)
('attack', 20)
('case', 19)
"
05/03/2020,"('singapore', 281)
('cases', 78)
('people', 48)
('singapore,', 46)
('airlines', 39)
('turkish', 37)
('case', 35)
('test', 34)
('flight', 34)
('#covid19', 32)
('#singapore', 31)
('empty', 29)
('6', 27)
('countries', 27)
('kits', 23)
('5', 23)
('samples', 21)
('working', 21)
('screen', 20)
('swab', 20)
"
06/03/2020,"('singapore', 344)
('offices', 91)
('facebook', 79)
('cases', 74)
('london', 65)
('#singapore', 53)
('shuts', 51)
('employee', 51)
('13', 41)
('#covid19', 37)
('diagnosed', 34)
('london,', 33)
('case', 32)
('reports', 31)
('visited', 27)
('singapore,', 26)
('spread', 25)
('closing', 25)
('based', 23)
('monday', 21)
"
07/03/2020,"('singapore', 281)
('cases', 73)
('singapore,', 55)
('#covid19', 54)
('#singapore', 45)
('offices', 41)
('facebook', 37)
('people', 34)
('countries', 33)
('hong', 32)
('8', 28)
('london', 28)
('china', 27)
('test', 26)
('shuts', 26)
('mask', 23)
('spread', 23)
('singapore.', 23)
('health', 21)
('korea', 21)
"
08/03/2020,"('singapore', 259)
('cases', 81)
('12', 50)
('singapore,', 46)
('sg', 41)
('#covid19', 40)
('#singapore', 34)
('cases,', 34)
('people', 32)
('hong', 30)
('safra', 29)
('china', 28)
('jurong', 27)
('singapore:', 27)
('spread', 26)
('model', 26)
('countries', 24)
('confirmed', 24)
('cluster', 24)
('quarantine', 24)
"
09/03/2020,"('singapore', 233)
('singapore,', 80)
('cases', 62)
('cases\n-', 44)
('#covid19', 43)
('#singapore', 42)
('countries', 39)
('south', 35)
('thailand', 33)
('quarantine', 30)
('people', 28)
('10', 26)
('offices', 25)
('china,', 24)
('health', 24)
('italy', 24)
('hong', 23)
('grab', 23)
('china', 23)
('korea,', 22)
"
10/03/2020,"('singapore', 258)
('singapore,', 64)
('cases', 57)
('south', 52)
('#singapore', 44)
('hong', 41)
('#covid19', 36)
('people', 36)
('korea', 36)
('passengers', 35)
('travel', 32)
('health', 31)
('countries', 31)
('spread', 30)
('quarantine', 30)
('italy', 29)
('china', 29)
('kong,', 27)
('korea,', 27)
('china,', 26)
"
11/03/2020,"('singapore', 265)
('singapore,', 58)
('cases', 50)
('people', 48)
('spread', 41)
('south', 39)
('hong', 38)
('korea', 33)
('singapore.', 33)
('countries', 32)
('korea,', 31)
('#covid19', 31)
('china,', 29)
('#singapore', 28)
('china', 28)
('outbreak', 27)
('italy', 25)
('quarantine', 25)
('country', 23)
('health', 23)
"
12/03/2020,"('singapore', 335)
('u.s.', 77)
('praise', 74)
('strategy.', 73)
('wins', 72)
('countries', 50)
('hong', 50)
('people', 43)
('singapore,', 39)
('#covid_19', 33)
('kong', 33)
('handle', 30)
('model', 28)
('countries,', 28)
('cases', 27)
('spread', 27)
('covid-19—other', 25)
('pm', 24)
('singapore.', 23)
('south', 23)
"
13/03/2020,"('singapore', 260)
('singapore,', 78)
('hong', 57)
('people', 46)
('china', 45)
('taiwan', 39)
('kong', 39)
('cases', 36)
('|', 34)
('u.s.', 33)
('spread', 32)
('wins', 32)
('praise', 32)
('strategy.', 30)
('south', 28)
('countries', 28)
('#covid19', 25)
('#covid_19', 25)
('learn', 23)
('measures', 22)
"
14/03/2020,"('singapore', 244)
('singapore,', 85)
('hong', 59)
('cases', 52)
('taiwan', 47)
('people', 42)
('kong', 39)
('countries', 39)
('south', 37)
('sg', 35)
('quarantine', 34)
('spread', 34)
('korea', 32)
('pm', 32)
('china', 30)
('taiwan,', 29)
('health', 27)
('#covid19', 26)
('lessons', 26)
('korea,', 25)
"
15/03/2020,"('singapore', 308)
('singapore,', 70)
('hong', 58)
('countries', 45)
('quarantine', 43)
('people', 42)
('taiwan', 41)
('kong', 39)
('cases', 39)
('spread', 31)
('taiwan,', 29)
('uk', 28)
('south', 28)
('u.k.', 28)
('china', 26)
('|', 25)
('minister', 24)
('china,', 24)
('korea,', 21)
('government', 21)
"
16/03/2020,"('singapore', 274)
('singapore,', 64)
('hong', 46)
('people', 43)
('quarantine', 39)
('#covid19', 38)
('countries', 37)
('cases', 37)
('#singapore', 36)
('south', 34)
('taiwan', 32)
('sg', 32)
('china', 30)
('kong', 29)
('korea,', 27)
('spread', 25)
('test', 24)
('social', 22)
('travel', 22)
('china,', 21)
"
17/03/2020,"('singapore', 229)
('singapore,', 64)
('rudy', 60)
('christian', 59)
('donovan', 58)
('kevin', 58)
('university', 57)
('wood\nc:', 52)
('mitchell\nsf:', 51)
('team', 50)
('durant\npf:', 49)
('hong', 49)
('gobert', 45)
('schools', 43)
('kong', 41)
('kyrie', 38)
('irving\nsg:', 36)
('taiwan', 36)
('people', 34)
('quarantine', 31)
"
18/03/2020,"('singapore', 240)
('singapore,', 54)
('hong', 54)
('cases', 41)
('response', 41)
('kong', 36)
('people', 36)
('south', 33)
(""singapore's"", 33)
('learn', 31)
('university', 30)
('–', 30)
('quarantine', 29)
('|', 28)
('singapore.', 26)
('worked', 26)
('test', 25)
('#covid19', 25)
('testing', 23)
('taiwan', 22)
"
19/03/2020,"('singapore', 248)
('detectives', 101)
('racing', 101)
('coronavirus:', 94)
('news', 71)
('bbc', 59)
('singapore,', 43)
('response', 42)
('cases', 41)
('china', 38)
('countries', 37)
('people', 34)
('hong', 33)
('learn', 33)
('donovan', 31)
('kevin', 31)
('south', 30)
('christian', 30)
('taiwan', 29)
('#covid19', 29)
"
20/03/2020,"('singapore', 273)
('contact', 52)
('singapore,', 42)
('tracing', 40)
('sg', 40)
('people', 38)
('south', 38)
('coronavirus:', 35)
('cases', 33)
('countries', 32)
('#covid_19', 30)
('korea,', 28)
('#covid19', 28)
('hong', 27)
('#singapore', 27)
('launches', 26)
('korea', 26)
('taiwan', 26)
('china', 25)
('government', 25)
"
21/03/2020,"('singapore', 273)
('hong', 66)
('singapore,', 61)
('cases', 50)
('countries', 50)
('people', 47)
('south', 47)
('#covid19', 42)
('quarantine', 38)
('china', 38)
('kong', 37)
('contact', 37)
('korea', 33)
('sg', 32)
('taiwan', 31)
('korea,', 30)
('taiwan,', 28)
('spread', 26)
('singapore.', 25)
('#singapore', 25)
"
22/03/2020,"('singapore', 251)
('singapore,', 60)
('south', 56)
('cases', 51)
('#covid19', 48)
('sg', 45)
('hong', 44)
('china', 42)
('countries', 40)
('quarantine', 37)
('tracing', 35)
('korea,', 34)
('spread', 34)
('taiwan', 30)
('kong', 30)
('#singapore', 30)
('live', 29)
('contact', 29)
('nz', 29)
('#staysafe', 26)
"
23/03/2020,"('singapore', 276)
('lockdown', 61)
('south', 55)
('country', 53)
('#covid19', 50)
('singapore,', 49)
('cases', 49)
('—', 47)
('sg', 46)
('people', 44)
('isn’t', 44)
('told', 43)
('doctor', 43)
('korea,', 42)
('quarantine', 40)
('taiwan', 33)
('hong', 33)
('#singapore', 32)
('countries', 30)
('@theprintindia', 27)
"
24/03/2020,"('singapore', 302)
('singapore,', 44)
('#singapore', 39)
('spread', 38)
('study', 34)
('#covid19', 33)
('cases', 33)
('people', 33)
('south', 33)
('hong', 32)
('sg', 31)
('quarantine', 26)
('korea,', 25)
('lockdown', 24)
('distancing', 23)
('countries', 22)
('health', 22)
('reducing', 20)
('coronavirus:', 20)
('impact', 20)
"
25/03/2020,"('singapore', 270)
('cases', 61)
('#covid19', 60)
('sg', 55)
('singapore,', 51)
('south', 44)
('hong', 44)
('spread', 43)
('government', 39)
('live', 36)
('quarantine', 34)
('nz', 34)
('people', 34)
('#betfair', 33)
('25th', 33)
('lay', 33)
('markets', 33)
('za', 33)
('#horseracing', 33)
('#staysafe', 33)
"
26/03/2020,"('singapore', 256)
('singapore,', 56)
('south', 47)
('billion', 46)
('airlines', 43)
('#singapore', 39)
('amid', 35)
('cases', 31)
('taps', 31)
('investors', 31)
('korea,', 31)
('korea', 29)
('shock', 28)
('#covid19', 28)
('quarantine', 28)
('countries', 26)
('$10.5', 25)
('sg', 25)
('hong', 25)
('spread', 25)
"
27/03/2020,"('singapore', 248)
('singapore,', 51)
('sg', 51)
('people', 47)
('quarantine', 38)
('#singapore', 37)
('hong', 34)
('airlines', 32)
('close', 31)
('china', 31)
('#covid19', 30)
('measures', 29)
('cases', 27)
('kong', 27)
('south', 27)
('social', 27)
('ago', 26)
('months', 25)
('rescue', 23)
('billion', 22)
"
28/03/2020,"('singapore', 244)
('singapore,', 70)
('mask', 55)
('south', 54)
('cases', 46)
('sg', 45)
('countries', 43)
('70', 41)
('quarantine', 40)
('#singapore', 39)
('korea', 36)
('people', 36)
('china', 32)
('masks', 31)
('wear', 30)
('reports', 29)
('korea,', 27)
('cases,', 27)
('china,', 27)
('hong', 26)
"
29/03/2020,"('singapore', 249)
('singapore,', 53)
('south', 46)
('people', 44)
('quarantine', 39)
('pm', 36)
('countries', 36)
('hong', 35)
('korea', 33)
('cases', 33)
('sg', 32)
('mask', 31)
('singapore’s', 30)
('korea,', 29)
('#covid19', 27)
('#singapore', 25)
('wearing', 25)
('singapore.', 25)
('health', 24)
('lee', 24)
"
30/03/2020,"('singapore', 230)
('singapore,', 69)
('south', 54)
('weeks', 46)
('germany', 45)
('launch', 44)
('singapore-style', 39)
('korea,', 38)
('sg', 37)
('aims', 37)
('strategies', 35)
('people', 35)
('quarantine', 31)
('korea', 31)
('china', 31)
('cases', 30)
('#covid19', 30)
('model', 28)
('countries', 28)
('#covid_19', 26)
"
31/03/2020,"('singapore', 205)
('sg', 61)
('south', 61)
('countries', 54)
('singapore,', 53)
('people', 42)
('hong', 41)
('korea', 39)
('mask', 39)
('#covid19', 36)
('korea,', 32)
('kong,', 30)
('cases', 30)
('wearing', 29)
('china,', 28)
('singapore’s', 26)
(""singapore's"", 26)
('|', 26)
('live', 25)
('masks', 25)
"
01/04/2020,"('singapore', 235)
('cases', 85)
('singapore,', 71)
('south', 56)
('people', 55)
('sg', 45)
('china', 44)
('countries', 42)
('korea,', 40)
('korea', 38)
('live', 34)
('spread', 34)
('mask', 33)
('hong', 31)
('1st', 30)
('#covid19', 30)
('taiwan,', 28)
('#singapore', 27)
('transmission', 26)
('lay', 26)
"
