date,Fear,Joy,Sadness,Surprise
2021_09_24,0.468,0.252,0.15,0.13
2021_09_25,0.512,0.238,0.158,0.092
2021_09_26,0.544,0.184,0.186,0.086
2021_09_27,0.546,0.234,0.1,0.12
2021_09_28,0.542,0.22,0.122,0.116
2021_09_29,0.61,0.182,0.128,0.08
2021_09_30,0.576,0.196,0.12,0.108
2021_10_01,0.544,0.24,0.12,0.096
2021_10_02,0.568,0.184,0.152,0.096
2021_10_03,0.538,0.196,0.142,0.124
2021_10_04,0.516,0.24,0.13,0.114
2021_10_05,0.538,0.23,0.134,0.098
2021_10_06,0.514,0.286,0.114,0.086
2021_10_07,0.532,0.228,0.116,0.124
2021_10_08,0.456,0.25,0.156,0.138
2021_10_09,0.518,0.214,0.152,0.116
2021_10_10,0.54,0.228,0.124,0.108
2021_10_11,0.582,0.194,0.132,0.092
2021_10_12,0.552,0.19,0.164,0.094
2021_10_13,0.562,0.22,0.128,0.09
2021_10_14,0.52,0.244,0.118,0.118
2021_10_15,0.52,0.214,0.144,0.122
2021_10_16,0.534,0.226,0.13,0.11
2021_10_17,0.53,0.178,0.1,0.192
2021_10_18,0.5,0.222,0.176,0.102
2021_10_19,0.556,0.228,0.136,0.08
2021_10_20,0.506,0.244,0.102,0.148
2021_10_21,0.478,0.264,0.138,0.12
2021_10_22,0.46,0.292,0.126,0.122
2021_10_23,0.432,0.286,0.134,0.148
2021_10_24,0.51,0.216,0.146,0.128
2021_10_25,0.5,0.254,0.14,0.106
2021_10_26,0.488,0.272,0.148,0.092
2021_10_27,0.46,0.3,0.138,0.102
2021_10_28,0.488,0.28,0.108,0.124
2021_10_29,0.432,0.302,0.124,0.142
2021_10_30,0.462,0.226,0.158,0.154
2021_10_31,0.448,0.216,0.13,0.206
2021_11_01,0.486,0.256,0.134,0.124
2021_11_02,0.448,0.38,0.092,0.08
2021_11_03,0.512,0.264,0.108,0.116
2021_11_04,0.516,0.278,0.102,0.104
2021_11_05,0.516,0.226,0.114,0.144
2021_11_06,0.52,0.238,0.146,0.096
2021_11_07,0.476,0.246,0.128,0.15
2021_11_08,0.472,0.278,0.138,0.112
2021_11_09,0.49,0.286,0.11,0.114
2021_11_10,0.456,0.288,0.144,0.112
2021_11_11,0.438,0.33,0.142,0.09
2021_11_12,0.392,0.364,0.136,0.108
2021_11_13,0.45,0.254,0.13,0.166
2021_11_14,0.472,0.214,0.168,0.146
2021_11_15,0.468,0.314,0.11,0.108
2021_11_16,0.436,0.344,0.108,0.112
2021_11_17,0.448,0.302,0.108,0.142
2021_11_18,0.398,0.346,0.124,0.132
2021_11_19,0.358,0.346,0.144,0.152
2021_11_20,0.44,0.288,0.16,0.112
2021_11_21,0.422,0.268,0.154,0.156
2021_11_22,0.4,0.334,0.158,0.108
2021_11_23,0.466,0.294,0.14,0.1
2021_11_24,0.452,0.292,0.154,0.102
2021_11_25,0.446,0.298,0.146,0.11
2021_11_26,0.556,0.218,0.116,0.11
2021_11_27,0.516,0.236,0.142,0.106
2021_11_28,0.544,0.202,0.12,0.134
2021_11_29,0.466,0.294,0.138,0.102
2021_11_30,0.51,0.266,0.13,0.094
2021_12_01,0.482,0.288,0.118,0.112
2021_12_02,0.478,0.256,0.12,0.146
2021_12_03,0.484,0.294,0.126,0.096
2021_12_04,0.474,0.276,0.134,0.116
2021_12_05,0.5,0.244,0.166,0.09
2021_12_06,0.47,0.276,0.124,0.13
2021_12_07,0.474,0.32,0.108,0.098
2021_12_08,0.448,0.3,0.134,0.118
2021_12_09,0.466,0.322,0.118,0.094
2021_12_10,0.5,0.268,0.104,0.128
2021_12_11,0.484,0.264,0.138,0.114
2021_12_12,0.512,0.272,0.128,0.088
2021_12_13,0.508,0.236,0.12,0.136
2021_12_14,0.516,0.214,0.162,0.108
2021_12_15,0.472,0.286,0.15,0.092
2021_12_16,0.47,0.234,0.19,0.106
2021_12_17,0.502,0.26,0.134,0.104
2021_12_18,0.51,0.244,0.162,0.084
2021_12_19,0.456,0.228,0.17,0.146
2021_12_20,0.462,0.272,0.138,0.128
2021_12_21,0.442,0.24,0.186,0.132
2021_12_22,0.402,0.304,0.156,0.138
2021_12_23,0.434,0.27,0.178,0.118
2021_12_24,0.358,0.344,0.158,0.14
2021_12_25,0.314,0.272,0.222,0.192
2021_12_26,0.458,0.252,0.178,0.112
2021_12_27,0.478,0.26,0.164,0.098
2021_12_28,0.466,0.228,0.2,0.106
2021_12_29,0.484,0.204,0.204,0.108
2021_12_30,0.464,0.266,0.152,0.118
2021_12_31,0.44,0.23,0.21,0.12
2022_01_01,0.432,0.27,0.196,0.102
2022_01_02,0.514,0.252,0.136,0.098
2022_01_03,0.42,0.31,0.158,0.112
2022_01_04,0.458,0.274,0.142,0.126
2022_01_05,0.454,0.284,0.146,0.116
2022_01_06,0.412,0.302,0.166,0.12
2022_01_07,0.474,0.288,0.136,0.102
2022_01_08,0.442,0.274,0.17,0.114
2022_01_09,0.514,0.23,0.156,0.1
2022_01_10,0.47,0.286,0.132,0.112
2022_01_11,0.478,0.256,0.142,0.124
2022_01_12,0.468,0.292,0.132,0.108
2022_01_13,0.466,0.254,0.146,0.134
2022_01_14,0.466,0.276,0.144,0.114
2022_01_15,0.468,0.27,0.144,0.118
2022_01_16,0.534,0.248,0.114,0.104
2022_01_17,0.486,0.274,0.15,0.09
2022_01_18,0.43,0.312,0.108,0.15
2022_01_19,0.468,0.262,0.132,0.138
2022_01_20,0.484,0.26,0.166,0.09
2022_01_21,0.498,0.256,0.132,0.114
2022_01_22,0.494,0.232,0.148,0.126
2022_01_23,0.532,0.198,0.156,0.114
2022_01_24,0.492,0.282,0.128,0.098
2022_01_25,0.572,0.214,0.12,0.094
2022_01_26,0.494,0.256,0.144,0.106
2022_01_27,0.528,0.23,0.142,0.1
2022_01_28,0.512,0.27,0.118,0.1
2022_01_29,0.532,0.236,0.174,0.058
2022_01_30,0.546,0.196,0.162,0.096
2022_01_31,0.554,0.252,0.112,0.082
2022_02_01,0.534,0.256,0.108,0.102
