date,Fear,Joy,Sadness,Surprise
2020_06_18,0.548,0.208,0.126,0.118
2020_06_19,0.564,0.192,0.118,0.126
2020_06_20,0.562,0.166,0.116,0.156
2020_06_21,0.576,0.184,0.15,0.09
2020_06_22,0.54,0.194,0.14,0.126
2020_06_23,0.562,0.238,0.086,0.114
2020_06_24,0.632,0.178,0.082,0.108
2020_06_25,0.566,0.168,0.14,0.126
2020_06_26,0.598,0.16,0.104,0.138
2020_06_27,0.58,0.164,0.122,0.134
2020_06_28,0.592,0.164,0.116,0.128
2020_06_29,0.594,0.166,0.116,0.124
2020_06_30,0.59,0.172,0.11,0.128
2020_07_01,0.568,0.186,0.106,0.14
2020_07_02,0.634,0.14,0.098,0.128
2020_07_03,0.568,0.166,0.118,0.148
2020_07_04,0.512,0.206,0.136,0.146
2020_07_05,0.632,0.162,0.108,0.098
2020_07_06,0.592,0.166,0.132,0.11
2020_07_07,0.582,0.214,0.104,0.1
2020_07_08,0.564,0.184,0.126,0.126
2020_07_09,0.562,0.186,0.122,0.13
2020_07_10,0.61,0.168,0.108,0.114
2020_07_11,0.6,0.126,0.092,0.182
2020_07_12,0.602,0.17,0.102,0.126
2020_07_13,0.622,0.16,0.116,0.102
2020_07_14,0.528,0.228,0.14,0.104
2020_07_15,0.564,0.202,0.12,0.114
2020_07_16,0.608,0.16,0.122,0.11
2020_07_17,0.61,0.152,0.116,0.122
2020_07_18,0.566,0.192,0.114,0.128
2020_07_19,0.594,0.182,0.122,0.102
2020_07_20,0.598,0.174,0.12,0.108
2020_07_21,0.57,0.202,0.096,0.132
2020_07_22,0.568,0.212,0.088,0.132
2020_07_23,0.552,0.172,0.15,0.126
2020_07_24,0.518,0.22,0.126,0.136
2020_07_25,0.518,0.208,0.14,0.134
2020_07_26,0.502,0.202,0.168,0.128
2020_07_27,0.568,0.17,0.138,0.124
2020_07_28,0.53,0.192,0.156,0.122
2020_07_29,0.556,0.186,0.132,0.126
2020_07_30,0.534,0.182,0.166,0.118
2020_07_31,0.522,0.206,0.132,0.14
2020_08_01,0.552,0.166,0.156,0.126
2020_08_02,0.514,0.198,0.17,0.118
2020_08_03,0.6,0.168,0.114,0.118
2020_08_04,0.478,0.206,0.144,0.172
2020_08_05,0.522,0.208,0.156,0.114
2020_08_06,0.482,0.226,0.158,0.134
2020_08_07,0.536,0.206,0.128,0.13
2020_08_08,0.51,0.198,0.126,0.166
2020_08_09,0.524,0.194,0.148,0.134
2020_08_10,0.544,0.196,0.16,0.1
2020_08_11,0.534,0.186,0.156,0.124
2020_08_12,0.556,0.194,0.14,0.11
2020_08_13,0.546,0.236,0.108,0.11
2020_08_14,0.504,0.242,0.118,0.136
2020_08_15,0.468,0.236,0.134,0.162
2020_08_16,0.53,0.218,0.12,0.132
2020_08_17,0.528,0.22,0.138,0.114
2020_08_18,0.48,0.238,0.14,0.142
2020_08_19,0.506,0.226,0.136,0.132
2020_08_20,0.48,0.212,0.154,0.154
2020_08_21,0.478,0.232,0.148,0.142
2020_08_22,0.532,0.206,0.138,0.124
2020_08_23,0.528,0.22,0.118,0.134
2020_08_24,0.518,0.228,0.136,0.118
2020_08_25,0.478,0.236,0.142,0.144
2020_08_26,0.542,0.214,0.114,0.13
2020_08_27,0.534,0.206,0.14,0.12
2020_08_28,0.49,0.212,0.16,0.138
2020_08_29,0.514,0.22,0.134,0.132
2020_08_30,0.53,0.192,0.154,0.124
2020_08_31,0.544,0.206,0.146,0.104
2020_09_01,0.568,0.184,0.122,0.126
2020_09_02,0.526,0.18,0.144,0.15
